Business ID,Fiscal Year,Department,Support Program,Race or Ethnicity of Recipient,Zipcode,New Georeferenced Column
2616,2020,Economic Development (EDD),Small Business Education & Coaching,Black or African American,78660,POINT (-97.613157 30.449905)
694,2019,Economic Development (EDD),Small Business Education & Coaching,,78752,POINT (-97.703051 30.332223)
2034,2019,Economic Development (EDD),Music & Entertainment Business Development,,,
505,2021,Economic Development (EDD),Cultural Arts Grantmaking,,,
V00000962855,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78628,POINT (-97.725109 30.652485)
2587,2021,Economic Development (EDD),Education & Coaching,Asian,78613,POINT (-97.824803 30.503628)
1476,2020,Economic Development (EDD),Small Business Education & Coaching,Asian,78701,POINT (-97.741791 30.271191)
BEN8308480,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78741,POINT (-97.716971 30.227985)
1098,2021,Economic Development (EDD),Education & Coaching,White,78741,POINT (-97.716971 30.227985)
4077,2022,Economic Development,Education & Coaching,White,78737,POINT (-97.964749 30.193369)
3712,2022,Economic Development,Education & Coaching,Hispanic or Latino,95116,POINT (-121.852029 37.351106)
468,2020,Economic Development (EDD),Cultural Arts Grantmaking,,,
419,2021,Economic Development (EDD),Education & Coaching,Multi Race or Ethnicity (minimum of two different options from above),,
762,2020,Economic Development (EDD),Small Business Education & Coaching,White,78619,POINT (-98.032334 30.109687)
562,2020,Economic Development (EDD),Historic Preservation Fund Grants,,,
1614,2020,Economic Development (EDD),Small Business Education & Coaching,,,
2788,2020,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,,
V00000924337,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78704,POINT (-97.76448 30.243217)
2770,2020,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,78748,POINT (-97.825259 30.166107)
1243,2020,Economic Development (EDD),Small Business Education & Coaching,,,
3668,2022,Economic Development,Education & Coaching,White,78752,POINT (-97.703051 30.332223)
2813,2020,Economic Development (EDD),Small Business Education & Coaching,Asian,,
3564,2022,Economic Development,Education & Coaching,White,78753,POINT (-97.675352 30.378511)
2011,2019,Economic Development (EDD),Business Development,,78758,POINT (-97.706726 30.384311)
222,2019,Economic Development (EDD),Small Business Education & Coaching,White,78759,POINT (-97.753727 30.40316)
314,2021,Economic Development (EDD),Education & Coaching,Prefer not to answer,78757,POINT (-97.732706 30.349869)
258,2020,Economic Development (EDD),Cultural Arts Grantmaking,,,
1495,2020,Economic Development (EDD),Small Business Education & Coaching,,,
2076,2019,Economic Development (EDD),Music & Entertainment Business Development,,,
215,2021,Economic Development (EDD),Cultural Arts Grantmaking,White,,
1961,2021,Economic Development (EDD),Education & Coaching,Hispanic or Latino,78221,POINT (-98.493506 29.313981)
3083,2020,Economic Development (EDD),Small Business Education & Coaching,Asian,,
1010,2019,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,78625,
2793,2021,Economic Development (EDD),Industry Sector Development,White,,
3635,2022,Economic Development,Education & Coaching,Prefer not to answer,78762,POINT (-97.746598 30.264979)
236,2019,Economic Development (EDD),Small Business Education & Coaching,White,78732,POINT (-97.897807 30.370203)
3536,2022,Economic Development,Education & Coaching,Prefer not to answer,78003,POINT (-99.074035 29.729259)
2032,2020,Economic Development (EDD),Public Art & Placemaking,,,
850,2021,Economic Development (EDD),Education & Coaching,Black or African American,30303,POINT (-84.390013 33.753703)
650,2019,Economic Development (EDD),Small Business Education & Coaching,White,78756,POINT (-97.740236 30.321553)
2095,2019,Economic Development (EDD),Music & Entertainment Business Development,,,
292,2021,Economic Development (EDD),Education & Coaching,Black or African American,78728,POINT (-97.682765 30.450836)
V00000969896,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78660,POINT (-97.613157 30.449905)
616,2020,Economic Development (EDD),Music & Entertainment Business Development,,,
193,2019,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,78736,POINT (-97.930895 30.241891)
20,2020,Economic Development (EDD),Artist Development,Prefer not to answer,,
661,2019,Economic Development (EDD),Small Business Education & Coaching,Black or African American,78714,POINT (-97.746598 30.264979)
1607,2021,Economic Development (EDD),Education & Coaching,,,
1628,2021,Economic Development (EDD),Education & Coaching,,78757,POINT (-97.732706 30.349869)
1309,2021,Economic Development (EDD),Business Development,White,78738,POINT (-97.977713 30.319988)
231,2020,Economic Development (EDD),Cultural Arts Grantmaking,,,
V00000926085,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,White,78703,POINT (-97.763975 30.291285)
25,2019,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,78702,POINT (-97.71608 30.264271)
2499,2020,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,78610,POINT (-97.818541 30.079155)
V00000942747,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,White,78666,POINT (-97.957509 29.875413)
138,2021,Economic Development (EDD),Education & Coaching,,78703,POINT (-97.763975 30.291285)
3653,2022,Economic Development,Education & Coaching,White,78732,POINT (-97.897807 30.370203)
V00000920329,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic or Latino,77007,POINT (-95.403851 29.7724)
