Business ID,Fiscal Year,Department,Support Program,Race or Ethnicity of Recipient,Zipcode,New Georeferenced Column
V00000974730,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,2050,
V00000911183,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,76185,
V00000964211,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78627,
1254,2020,Economic Development (EDD),Small Business Education & Coaching,,,
VC0000102282,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78714,
PIA8322157,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78766,
3856,2022,Economic Development,Education & Coaching,Asian,10001,POINT (-73.996575 40.750166)
1934,2021,Economic Development (EDD),Education & Coaching,Asian,201310,
3236,2022,Economic Development,Public Art & Placemaking,Black or African American,,
1209,2019,Economic Development (EDD),Small Business Education & Coaching,,78705,POINT (-97.737978 30.292467)
3443,2022,Economic Development,Education & Coaching,White,78747,POINT (-97.757228 30.133523)
2264,2021,Economic Development (EDD),Small Business Development,White,78737,POINT (-97.964749 30.193369)
V00000938299,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78720,
2258,2020,Economic Development (EDD),Small Business Education & Coaching,,,
318,2020,Economic Development (EDD),Cultural Arts Grantmaking,,,
COD8314790,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78746,POINT (-97.81146 30.33179)
ROD8321224,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78729,POINT (-97.78254 30.45414)
WAY5080500,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78759,POINT (-97.73994 30.39329)
VS0000010052,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78763,
V00000928849,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78729,POINT (-97.78254 30.45414)
V00000972076,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78754,POINT (-97.66154 30.36059)
V00000954601,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,76102,POINT (-97.33086 32.75095)
V00000949911,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78613,POINT (-97.82096 30.50682)
V00000950329,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78717,POINT (-97.76671 30.48659)
MEL8302760,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78719,POINT (-97.6909 30.16148)
LIM7079715,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78702,POINT (-97.70011 30.25848)
V00000958076,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78665,POINT (-97.61614 30.55498)
V00000959028,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78748,POINT (-97.79775 30.16375)
V00000960416,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78748,POINT (-97.79775 30.16375)
V00000957053,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78613,POINT (-97.82096 30.50682)
V00000968066,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78728,POINT (-97.68488 30.4724)
HON8313620,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78660,POINT (-97.61994 30.44056)
V00000946068,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78641,POINT (-97.85322 30.57955)
V00000977071,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78725,POINT (-97.63654 30.21579)
CEN8315388,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78701,POINT (-97.74299 30.26759)
V00000966988,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78660,POINT (-97.61994 30.44056)
V00000966988,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78660,POINT (-97.61994 30.44056)
COM8302232,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78627,
BLT8312460,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,77375,POINT (-95.61699 30.09584)
V00000939833,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78744,POINT (-97.74921 30.19461)
SIE8313016,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,77036,POINT (-95.54942 29.6778)
V00000978691,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,76542,POINT (-97.74784 31.0919)
V00000966719,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78745,POINT (-97.80322 30.21116)
GRE8308847,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,77024,POINT (-95.54007 29.7789)
V00000917827,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78715,
V00000971863,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78660,POINT (-97.61994 30.44056)
V00000925009,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78762,
V00000958280,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78704,POINT (-97.76662 30.25565)
V00000940567,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78245,POINT (-98.68136 29.42717)
VS0000006524,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78734,POINT (-97.96266 30.34373)
V00000942231,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78758,POINT (-97.70519 30.37182)
V00000966309,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78701,POINT (-97.74299 30.26759)
V00000958312,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78701,POINT (-97.74299 30.26759)
V00000940234,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,75041,POINT (-96.64585 32.8664)
VS0000027653,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78656,POINT (-97.80475 29.88724)
V00000963791,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78730,POINT (-97.82057 30.3435)
V00000922739,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,77407,POINT (-95.73604 29.66967)
V00000946338,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78750,POINT (-97.8013 30.44533)
TSG8306690,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78757,POINT (-97.72368 30.36097)
V00000942454,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78653,POINT (-97.55614 30.3408)
V00000965122,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78725,POINT (-97.63654 30.21579)
IHS8315176,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78704,POINT (-97.76662 30.25565)
VC0000102842,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78617,POINT (-97.65756 30.21461)
VS0000025076,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78749,POINT (-97.86112 30.18357)
SUN4499350,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78754,POINT (-97.66154 30.36059)
V00000966719,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78745,POINT (-97.80322 30.21116)
ZAM8305129,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78610,POINT (-97.84301 30.08165)
SPI7148015,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78703,POINT (-97.76845 30.3013)
V00000964952,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78745,POINT (-97.80322 30.21116)
V00000975046,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,33183,POINT (-80.41855 25.70835)
V00000947666,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78761,
VC0000102635,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78757,POINT (-97.72368 30.36097)
V00000939934,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78701,POINT (-97.74299 30.26759)
V00000904885,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78613,POINT (-97.82096 30.50682)
V00000930503,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78759,POINT (-97.73994 30.39329)
V00000920329,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,77007,POINT (-95.4107 29.77043)
SQU8302982,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Native American,78746,POINT (-97.81146 30.33179)
V00000952954,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78705,POINT (-97.74728 30.28814)
MCG3115750,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78731,POINT (-97.76908 30.35236)
V00000939446,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78744,POINT (-97.74921 30.19461)
V00000960374,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78253,POINT (-98.72277 29.44539)
V00000980347,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78754,POINT (-97.66154 30.36059)
V00000945261,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78753,POINT (-97.67743 30.365)
VS0000014891,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Native American,76550,POINT (-98.18359 31.06742)
VS0000031989,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78691,
V00000969100,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78701,POINT (-97.74299 30.26759)
DUR8317147,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,75081,POINT (-96.71066 32.97019)
V00000924464,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78723,POINT (-97.69981 30.31711)
V00000969100,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78701,POINT (-97.74299 30.26759)
V00000923292,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78659,POINT (-97.11388 30.2116)
DAV1449500,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78746,POINT (-97.81146 30.33179)
V00000939371,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,77056,POINT (-95.47671 29.76015)
CGA8319026,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78610,POINT (-97.84301 30.08165)
TRA8311787,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78731,POINT (-97.76908 30.35236)
V00000958076,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78665,POINT (-97.61614 30.55498)
V00000971129,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,91016,POINT (-117.99878 34.14783)
V00000902351,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78202,POINT (-98.47143 29.42507)
V00000918707,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,77071,POINT (-95.51693 29.65732)
V00000949971,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78704,POINT (-97.76662 30.25565)
V00000981768,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,76501,POINT (-97.34303 31.09747)
V00000947321,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78717,POINT (-97.76671 30.48659)
V00000913637,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78745,POINT (-97.80322 30.21116)
V00000966973,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78751,POINT (-97.71383 30.31664)
V00000954462,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78602,POINT (-97.31894 30.11054)
V00000926085,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78703,POINT (-97.76845 30.3013)
FAC8301027,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78641,POINT (-97.85322 30.57955)
V00000938325,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,77060,POINT (-95.40748 29.93967)
V00000929374,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78704,POINT (-97.76662 30.25565)
VIS8306797,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78734,POINT (-97.96266 30.34373)
V00000917569,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78741,POINT (-97.70176 30.22764)
3047,2021,Economic Development (EDD),Industry Sector Development,Multi Race or Ethnicity (minimum of two different options from above),78701,POINT (-97.741791 30.271191)
2182,2020,Economic Development (EDD),Small Business Education & Coaching,Asian,78727,POINT (-97.713462 30.426879)
V00000905281,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78664,POINT (-97.651252 30.505358)
2028,2019,Economic Development (EDD),Music & Entertainment Business Development,,,
1426,2019,Economic Development (EDD),Cultural Arts Grantmaking,,78702,POINT (-97.71608 30.264271)
65,2020,Economic Development (EDD),Business Development,Multi Race or Ethnicity,78741,POINT (-97.716971 30.227985)
229,2020,Economic Development (EDD),Cultural Arts Grantmaking,,,
V00000933967,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78681,POINT (-97.718684 30.519443)
V00000933636,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic or Latino,78617,POINT (-97.611102 30.157123)
735,2019,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,78703,POINT (-97.763975 30.291285)
997,2021,Economic Development (EDD),Cultural Arts Grantmaking,Multi Race or Ethnicity (minimum of two different options from above),78723,POINT (-97.686715 30.30723)
1055,2019,Economic Development (EDD),Small Business Education & Coaching,,78752,POINT (-97.703051 30.332223)
3682,2022,Economic Development,Education & Coaching,Black or African American,78640,POINT (-97.839938 29.996884)
873,2020,Economic Development (EDD),Small Business Education & Coaching,White,79705,POINT (-102.079177 32.037749)
3627,2022,Economic Development,Education & Coaching,Multi Race or Ethnicity,78736,POINT (-97.930895 30.241891)
1386,2021,Economic Development (EDD),Education & Coaching,,,
962,2020,Economic Development (EDD),Small Business Education & Coaching,White,77098,POINT (-95.414632 29.734355)
V00000925425,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78238,POINT (-98.60825 29.46773)
V00000926470,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78748,POINT (-97.79775 30.16375)
VS0000030611,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78610,POINT (-97.84301 30.08165)
PES8307381,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78759,POINT (-97.73994 30.39329)
V00000929188,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78676,POINT (-98.09392 29.98058)
FOU7151270,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78070,POINT (-98.41069 29.92053)
VS0000027653,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78656,POINT (-97.80475 29.88724)
VS0000035161,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78741,POINT (-97.70176 30.22764)
VS0000027746,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78704,POINT (-97.76662 30.25565)
ELI8309164,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78132,POINT (-98.16603 29.71793)
V00000916591,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78640,POINT (-97.87736 29.98835)
V00000968274,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78642,POINT (-97.92203 30.66405)
V00000953919,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78641,POINT (-97.85322 30.57955)
VS0000020921,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78701,POINT (-97.74299 30.26759)
UNI8318182,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78752,POINT (-97.71565 30.33017)
V00000947377,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78744,POINT (-97.74921 30.19461)
VS0000019008,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78683,
V00000913580,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78759,POINT (-97.73994 30.39329)
V00000967085,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,20721,POINT (-76.82913 38.9135)
V00000928849,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78729,POINT (-97.78254 30.45414)
V00000907003,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78753,POINT (-97.67743 30.365)
V00000954206,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,77062,POINT (-95.13054 29.57967)
V00000900503,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78683,
VS0000019940,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,77067,POINT (-95.45845 29.94659)
CAR8304844,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78701,POINT (-97.74299 30.26759)
VS0000006283,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78617,POINT (-97.65756 30.21461)
V00000953084,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78702,POINT (-97.70011 30.25848)
STA7142875,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78723,POINT (-97.69981 30.31711)
AIR0096750,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,76051,POINT (-97.07839 32.93948)
V00000928360,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78660,POINT (-97.61994 30.44056)
V00000946128,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78205,POINT (-98.49461 29.42458)
V00000900099,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78754,POINT (-97.66154 30.36059)
V00000933967,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78681,POINT (-97.69191 30.51312)
V00000950132,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78731,POINT (-97.76908 30.35236)
V00000928794,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78703,POINT (-97.76845 30.3013)
943,2021,Economic Development (EDD),Education & Coaching,,,
V00000971220,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78756,POINT (-97.73234 30.33123)
V00000921504,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78737,POINT (-97.93254 30.22731)
V00000933967,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78681,POINT (-97.69191 30.51312)
VC0000101572,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78723,POINT (-97.69981 30.31711)
V00000954418,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78723,POINT (-97.69981 30.31711)
GRA7130335,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78626,POINT (-97.67703 30.63816)
VS0000012688,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78732,POINT (-97.91006 30.34361)
VC0000100937,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78610,POINT (-97.84301 30.08165)
V00000956742,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78501,POINT (-98.22931 26.2077)
V00000907693,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78721,POINT (-97.67561 30.27606)
VS0000035647,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Native American,78653,POINT (-97.55614 30.3408)
V00000969204,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78727,POINT (-97.73742 30.43573)
V00000943324,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78752,POINT (-97.71565 30.33017)
VS0000020711,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,76574,POINT (-97.40965 30.57015)
V00000963794,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78664,POINT (-97.67722 30.50904)
V00000927924,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78665,POINT (-97.61614 30.55498)
V00000957171,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,45414,POINT (-84.21478 39.82223)
V00000957058,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78724,POINT (-97.63128 30.27734)
V00000938118,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,2110,
V00000960935,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78737,POINT (-97.93254 30.22731)
V00000934961,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78644,POINT (-97.67185 29.88476)
V00000958329,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78704,POINT (-97.76662 30.25565)
V00000959175,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78664,POINT (-97.67722 30.50904)
V00000953422,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78664,POINT (-97.67722 30.50904)
V00000968690,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,75380,
V00000900595,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78714,
V00000968786,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,75407,POINT (-96.49711 33.18088)
VS0000012688,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78732,POINT (-97.91006 30.34361)
VS0000030611,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78610,POINT (-97.84301 30.08165)
V00000932965,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78704,POINT (-97.76662 30.25565)
V00000932400,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78766,
V00000908940,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78704,POINT (-97.76662 30.25565)
V00000925889,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,77401,POINT (-95.4679 29.70345)
V00000975045,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78731,POINT (-97.76908 30.35236)
V00000929649,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78746,POINT (-97.81146 30.33179)
V00000967199,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78702,POINT (-97.70011 30.25848)
V00000964579,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,76537,POINT (-97.60579 30.82448)
V00000953813,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78758,POINT (-97.70519 30.37182)
V00000973666,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78746,POINT (-97.81146 30.33179)
V00000960935,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78737,POINT (-97.93254 30.22731)
V00000915161,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78216,POINT (-98.49174 29.50667)
VS0000011064,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78746,POINT (-97.81146 30.33179)
V00000921387,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78701,POINT (-97.74299 30.26759)
VS0000022827,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,77380,POINT (-95.46907 30.13079)
V00000936080,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78748,POINT (-97.79775 30.16375)
GCA1014250,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78613,POINT (-97.82096 30.50682)
VS0000014477,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78006,POINT (-98.72933 29.78956)
V00000950085,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78735,POINT (-97.82843 30.24241)
SAN8316404,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78750,POINT (-97.8013 30.44533)
V00000910204,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78757,POINT (-97.72368 30.36097)
VS0000007176,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78734,POINT (-97.96266 30.34373)
VC0000102842,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78617,POINT (-97.65756 30.21461)
V00000947407,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78744,POINT (-97.74921 30.19461)
V00000964266,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78757,POINT (-97.72368 30.36097)
V00000970297,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78705,POINT (-97.74728 30.28814)
VS0000031346,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78759,POINT (-97.73994 30.39329)
PRO8310075,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78756,POINT (-97.73234 30.33123)
V00000957348,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78754,POINT (-97.66154 30.36059)
V00000955913,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78653,POINT (-97.55614 30.3408)
V00000959236,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,79601,POINT (-99.72232 32.4969)
V00000921351,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78704,POINT (-97.76662 30.25565)
V00000973105,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78621,POINT (-97.37097 30.34901)
PRO7148615,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,77494,POINT (-95.82739 29.73098)
V00000969820,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78665,POINT (-97.61614 30.55498)
VS0000004401,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,77235,
V00000953813,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78758,POINT (-97.70519 30.37182)
GDC8315005,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78660,POINT (-97.61994 30.44056)
VC0000103065,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78731,POINT (-97.76908 30.35236)
STE8305142,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78749,POINT (-97.86112 30.18357)
V00000956451,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78210,POINT (-98.47838 29.38418)
V00000913751,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,75011,
2090,2020,Economic Development (EDD),Education & Coaching,,,
V00000927924,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78665,POINT (-97.61614 30.55498)
PRE7119790,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,77042,POINT (-95.57424 29.74768)
VS0000032495,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Native American,78731,POINT (-97.76908 30.35236)
VC0000101540,2021,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78756,POINT (-97.73234 30.33123)
